tutorialarea_shop_title,出售物品一览
dialog_event_close,活动结束了。
dialog_eventResultBadUserAlert_title,注意
dialog_eventResultBadUserAlert_message,因为您在演出中，\n没有达到一定以上的基准，\n活动点数为0。\n还请理解。
dialog_eventReward_title,获得报酬
dialog_eventReward_description,获得了累计达成{0}点数的报酬！
dialog_eventRewardBoxGacha_deadlineDateFormat,MM/dd　HH:mm为止
dialog_eventRewardBoxGacha_currentSet_title,第{0}箱
dialog_eventRewardBoxGacha_lastSet_title,第{0}箱以后
dialog_eventRewardBoxGacha_attentionReward_title,推荐奖品
dialog_eventRewardBoxGacha_changeBox,进入下一个礼物箱
dialog_eventRewardBoxGacha_rewardList_title,礼物箱内容
dialog_eventRewardBoxGacha_special,特别
dialog_eventRewardBoxGacha_possession,所持
dialog_eventRewardBoxGacha_medalCount,枚
dialog_eventRewardBoxGacha_resetFinish_title,已重置
dialog_eventRewardBoxGacha_confirm,确认
dialog_eventRewardBoxGacha_medalUnit,枚
dialog_eventRewardBoxGacha_rewardUnit,个
dialog_eventRewardBoxGacha_resetFinish_message,已进入下一个礼物箱。
dialog_eventRewardBoxGacha_resetFinish_allReceivedMessage,所有奖品领取完毕、\n已进入下一个礼物箱。
dialog_eventRewardBoxGacha_startContinueConfirm_message,消费{0}{1}枚\n领取{2}个奖品。\n确认吗？
dialog_eventRewardBoxGacha_resetConfirm_message,重置礼物箱中的奖品、\n进入下一个礼物箱。\n确认吗？
dialog_eventRewardBoxGacha_resetConfirm_warning,※重置礼物箱后、\n　无法再返回之前的礼物箱
dialog_eventRewardBoxGacha_rewardList_warning,获得特别奖品后、就算没有获得全部的奖品\n也可以直接进入下一个礼物箱。
dialog_eventRewardBoxGacha_rewardList_emptyBoxInfo,已获得礼物箱内的\n所有奖品。\n即将进入下一个礼物箱。
dialog_eventRewardBoxGacha_shortageMedal,{0}不足
dialog_eventRewardBoxGacha_remainFormat,{0}/{1}
dialog_eventRewardBoxGacha_notEnoughEventBoxGachaItem,{0}不足。
dialog_eventRewardBoxGacha_eventBoxGachaInvalidTerm,已结束。
dialog_eventRewardBoxGacha_helpViewTitle,麻里奈小姐的礼物箱是
dialog_confirmFriendApplicationCancel_message,取消好友申请。\n确认吗？
dialog_confirmFriendApplicationCancel_title,确认
dialog_confirmFriendRelease_message,解除好友关系。\n确认吗？
dialog_confirmFriendRelease_title,确认
dialog_friendApplicationCancel_message,已取消好友申请。
dialog_friendApplicationCancel_title,好友申请取消已完成
dialog_friendInvite_inviteButton,邀请
dialog_friendInvite_message,邀请好友。确认吗？
dialog_friendInvite_title,确认
dialog_friendRelease_message,已解除好友关系。
dialog_friendRelease_title,已完成好友关系取消
dialog_friendRequestSent_title,已发送好友请求
dialog_friendRecommend_messageCommon,\n\n向其他用户发送好友申请、\n对方确认后即可成为好友。
dialog_friendRecommend_messageOnCreateRoom,没有可以发送邀请的好友。\n想要邀请好友的话、\n需要与其他用户建立好友关系。
dialog_friendRecommend_messageOnSearchRoom,想邀请好友至房间里进行演出的话、\n需要与其他用户建立好友关系。
dialog_friendRequestSent_message,已发送好友申请。
dialog_friendRequestError_messageAlreadyApplied,已经申请过了。
dialog_friendRequestError_messageAlreadyMadeFriend,已经互为好友。
dialog_friendRequestError_messageMyFriendsNumOrApplicationNumIsFull,好友已满、或\n可申请的好友数量不足。
dialog_friendRequestError_messageOpponentFriendsNumOrApprovalPendingNumIsFull,对方的好友位已满、或\n待确认好友数超出上限。
dialog_friendRoomSelect_comment,个性签名
dialog_friendRoomSelect_description,受到来自好友的演出邀请。请选择想要加入的房间。
dialog_friendRoomSelect_enteringRoom,进入房间
dialog_friendRoomSelect_roomCountLimit,※按照邀请顺序显示最多30个
dialog_friendRoomSelect_roomCreator,房间创建人
dialog_friendRoomSelect_title,选择邀请的房间
dialog_friendRoomSelect_notInvite,目前没有收到来自好友的演出邀请。\n您可以创建「私人房间」，\n邀请好友进行协力演出。
dialog_gachaConfirm_title,确认
dialog_gachaConfirm_body,消费{0}购买金币{1}\n并免费招募{2}\n确定吗？
dialog_gachaShortage_title,{0}不足
dialog_gachaShortageTicket_body,{0}不足。
dialog_gachaShortageStar_body,{0}不足。\n前往星石商店吗？?
dialog_gachaDetail_tabFrameOfGacha,出现概率
dialog_gachaDetail_tabFrameOfCommitment,确定成员出现概率
dialog_gachaDetail_title,招募详情
dialog_gachaDetailInformation_tabTitle,招募说明
dialog_gachaDetailInformation_titleDescription,招募概要
dialog_gachaDetailInformation_titleTerm,持续时间
dialog_gachaDetailInformation_titleNewMemberInfo,新成员介绍
dialog_gachaDetailInformation_titleStepInfo,STEP内容
dialog_gachaDetailInformation_titleSetInfo,套餐内容
dialog_gachaDetailInformation_titleWarning,注意事项
dialog_gachaDetailMember_title,提供成员一览
dialog_gachaDetailRarity_title,不同稀有度提供比例
dialog_gachaDetail_member,{0}成员
dialog_gachaPickup_title,成员详情
dialog_gachaNotEnoughStarError_message,星石不足。
dialog_gachaNotEnoughTicketError_message,招募券不足。
dialog_gachaNotEnoughItemError_message,需要的道具不足。
dialog_gachaNotFoundError_message,结束。
dialog_garupaCupSecondQualificationMusic_description1,GARUPA杯会场预赛演出开始。\n1次预赛晋级者将在东京国际展示场参加会场预赛、\n排名靠前的玩家可进入准决赛。\n※没有达到会场预赛晋级要求的玩家无法进入总决赛。
dialog_garupaCupSecondQualificationMusic_description2,没有晋级会场预赛的玩家也可以在会场进行体验、\n请务必来参与游玩。
dialog_garupaCupSecondQualificationMusic_title,GARUPA杯会场预赛演出
dialog_garupaCupSecondQualificationResultLiveFinish_title,会场预赛演出结束
dialog_garupaCupSecondQualificationResultLiveFinish_message,{0}将返回会场预赛的TOP处。\n确认吗？[-]\n\n{1}※在东京国际展示场参加会场预赛的\n1次预赛晋级玩家、\n在工作人员统计完毕前、\n请留在结束画面不要前进。[-]
dialog_garupaCupEntry_title,GARUPA杯参赛报名
dialog_garupaCupEntry_descriptionTop,[505050]1次预赛就算不报名也可以游玩。\n有意参加GARUPA杯的玩家[-][FE2349]需要完成1次以上1次预赛演出的基础上、\n报名[-][505050]参加比赛。\n1次预赛结束后、将根据分数高低、\n选出晋级GARUPA杯会场预赛的选手。[-]
dialog_garupaCupEntry_descriptionResult,[505050]1次预赛就算不报名也可以游玩。\n有意参加GARUPA杯的玩家需要进行比赛报名。\n1次预赛结束后、将根据分数高低、\n选出晋级GARUPA杯会场预赛的选手。[-]
dialog_garupaCupEntry_entryAt,报名时间：{0}为止
dialog_garupaCupEntry_confirm,确定报名参加GARUPA杯吗？
dialog_highScoreRating_noDataMessage,不存在乐曲的游玩数据。\n玩一玩已选乐队的乐曲吧！
dialog_hiSpeedSetting_checkMessage,速度确认
dialog_hiSpeedSetting_neverDisplayMessage1,下次不再显示
dialog_hiSpeedSetting_neverDisplayMessage2,（可在选项的演出设定中更改）
dialog_hiSpeedSetting_title,演出设定
dialog_hiSpeedSetting_subTitle,节奏符的速度
dialog_itemDetail_title,道具详细
dialog_inputError_characterEmpty,请输入1文字以上。
dialog_inputError_characterLength,请输入{0}文字以内。
dialog_inputError_characterType,含有无法使用的文字。
dialog_inputError_ngWord,含有禁止文字。\n请再次输入。
dialog_inputError_title,输入错误
dialog_liveBoostEmpty_title,确认
dialog_liveBoostEmpty_description,没有LIVE BOOST。\n就算完成演出也无法获得活动点数\n确定吗？
dialog_liveBoostEmpty_starShopButton,星石\n商店
dialog_liveBoostEmpty_liveButton,演出
dialog_liveBoostExpend_title,LIVE BOOST消费设定
dialog_liveBoostExpend_caption1,活动点数
dialog_liveBoostExpend_caption2,报酬・EXP
dialog_liveBoostExpend_rate,{0}倍
dialog_liveBoostExpend_settingButtonOn,设定中
dialog_liveBoostExpend_settingButtonOff,设定
dialog_liveBoostExpend_description1,※所持数在未满设定消费数的情况下，会消费所有的所持数。
dialog_liveBoostLack_title,所持LIVE BOOST不足
dialog_liveBoostLack_caption1,设定消费数
dialog_liveBoostLack_message1,※消费LIVE BOOST，会获得比平常更多的\n 报酬・EXP。
dialog_liveBoostLack_emptyLiveBoostDrink,未拥有
dialog_liveBoostLack_settingButton,消费设定
dialog_liveBoostLack_goButton,继续演出
dialog_liveBoostLack_healLBDrinkButton,所持物品
dialog_liveBoostLack_healLBStarButton,星石
dialog_liveBoostLackStar_message,星石不足。\n前往星石商店吗？
dialog_liveBoostRecover_overLimitErrorMessageBefore,由于超过LIVE BOOST的上限\n无法购买。
dialog_liveBoostRecover_overLimitErrorMessageAfter,由于超过LIVE BOOST的上限\n无法购买。
dialog_liveBoostRecoverLimit_title,LIVE BOOST MAX
dialog_liveBoostRecoverLimit_message,LIVE BOOST 达到MAX，无法回复。
dialog_liveBoostRecoverNotEnoughStar_title,星石所持数不足
dialog_liveBoostRecoverNotEnoughStar_message,星石的所持数不足。
dialog_liveBoostRecoverConfirm_title,确认
dialog_liveBoostRecoverConfirm_message,消费{0}个星石\n回复{1}LIVE BOOST。\n确定吗？
dialog_liveBoostRecoverConfirm_possessionStarCaption,所持星石
dialog_liveBoostRecoverConfirm_recoverButton,回复
dialog_liveBoostRecoverItem_title,回复量选择
dialog_liveBoostRecoverItem_message1,※LIVE BOOST最多可回复{0}。
dialog_liveBoostRecoverItem_healButton,回复
dialog_liveBoostRecoverItemCell_itemNum,x{0}
dialog_liveBoostRecoverItemConfirm_title,LIVE BOOST回复
dialog_liveBoostRecoverItemConfirm_message,将要回复LIVE BOOST。\n确认吗？
dialog_liveBoostRecoverItemFinish_message,LIVE BOOST已回复{0}！
dialog_liveSettings_mirror,镜像
dialog_liveSettings_coreLightMode,轻量化模式
dialog_liveSettings_coreAdjustJudgement,判定调节
dialog_liveSettings_standardRhythmIconSpeed,节奏图标的速度
dialog_liveSettings_standardRhythmIconSize,节奏图标的大小
dialog_liveSettings_standardSkin,皮肤
dialog_liveSettings_standardRhythmIconColored,节奏的色觉辅助
dialog_liveSettings_standardJudgementSound,判定音
dialog_liveSettings_standardSimultaneousLine,同时点击线
dialog_liveSettings_standardSkillWindow,技能窗口
dialog_liveSettings_standardTapAdjustTimingButton,点击调整
dialog_liveSettings_standardDisplaySkillEffect,显示技能效果
dialog_liveSettings_liveBGM,乐曲
dialog_liveSettings_liveSE,演出中的音效
dialog_liveSettings_liveVoice,演出中的语音
dialog_liveSettings_systemBGM,音乐
dialog_liveSettings_systemSE,音效
dialog_liveSettings_systemVoice,语音
dialog_liveSettings_systemScreenOrientation,固定画面
dialog_liveSettings_systemLiveBoostShortageConfirm,不足提示
dialog_liveSettings_tabStandardSetting,演出设定
dialog_liveSettings_tabLiveVolumeSetting,演出音量设定
dialog_liveSettings_title,选项
dialog_loadMapError_body,读取失败。返回标题。
dialog_loadMapError_title,错误
dialog_matching_description,正在寻找房间。
dialog_matching_title,匹配中
dialog_matching_warning,※系统拥挤时可能会花费较长的时间。
dialog_memberDecideConfirm_existNotArraivalMember,※有等待进入房间的成员
dialog_memberDecideConfirm_message,以{0}人开始演出。确认吗？
dialog_menuList_title,菜单
dialog_memorialStoryMember_title,主要成员
dialog_memorialStoryReleaseCondition_title,解锁条件
dialog_memorialStoryReleaseCondition_conditionUserRank,用户等级达到{0}时\n解锁。
dialog_memorialStoryReleaseCondition_conditionBandRank,{0}乐队等级达到{1}时\n解锁。
dialog_memorialStoryReleaseCondition_conditionAllBandRank,所有乐队的\n乐队等级达到{0}以上时解锁。
dialog_multiEntranceWebviewTitle,房间类型
dialog_musicDetail_title,乐曲详细
dialog_musicDetail_bandNameCaption,演奏乐队
dialog_musicDetail_composerCaption,作曲：
dialog_musicDetail_lyricistCaption,作词：
dialog_musicDetail_musicDetailCaption,详细情报
dialog_missionDetail_detail,详细
dialog_missionDetail_progress,达成度
dialog_missionDetail_timeLeft,剩余时间
dialog_missionDetail_reward,报酬
dialog_missionDetail_indefinitePeriod,限制时间 无
dialog_news_title,通知
dialog_nickNameChange_message,玩家名限制10文字以内。
dialog_nickNameChange_title,错误
dialog_nickNameChanged_message,玩家名已更改！
dialog_nickNameChanged_title,完成更改
dialog_opponentRequestApprove_message,已通过好友申请。
dialog_opponentRequestApprove_title,已确认好友申请
dialog_opponentRequestReject_message,已拒绝好友申请。
dialog_opponentRequestReject_title,好友申请拒绝已完成
dialog_pendingBillingExist_title,重新打开中断的购买
dialog_pendingBillingExist_message,前次的购买没有正常结束。\n请耐心等待。
dialog_pendingBillingFinish_title,购买处理结束
dialog_pendingBillingFinish_message,中断的处理已结束。
dialog_possessionStar_labelFree,免费
dialog_possessionStar_labelPaid,付费
dialog_possessionStar_labelTotal,全部星石
dialog_possessionStar_message,[FE2349]优先消耗免费星石[-]
dialog_possessionStar_title,持有星石
dialog_premiumPassDetail_buyableConditions,．「特惠欢乐月卡」需要等待30天有效期结束后才能再次购买。
dialog_premiumPassDetail_receiveCount,．1日1次的礼物会在每天的4点重置，每月最多可领取25次。
dialog_premiumPassDetail_receiveTiming,．购买「特惠欢乐月卡」后将立即获得付费星石×1000及音色水晶×20，\n  1日1次的礼物（免费星石×80）将在购买后第二天4:00开始进行每日发放。
dialog_premiumPassDetail_reset,．1日1次的礼物可在登录游戏后于礼物箱中领取。
dialog_premiumPassDetail_revocation,．「特惠欢乐月卡」有效期为30天，逾期未领取的每日免费星石将会作废，\n  请务必在30天内登录领取每日礼物。
dialog_premiumPassDetail_title,关于特惠欢乐月卡包
dialog_presentReceiveBulk_title,已完成一键领取
dialog_presentReceiveBulk_description,已领取以下报酬。
dialog_presentReceiveSingle_title,已领取
dialog_presentReceiveSingle_description,已领取以下的报酬。
dialog_presentReceiveSituationAlreadyHave,已获得成员已自动归入后台。
dialog_presentReceiveSituationAlreadyHaveSingular,由于成员已拥有、已归入后台。
dialog_privateRoomNotFoundError_message,无法搜寻到指定的房间。
dialog_privateRoomVersionError_message,指定房间的app版本不匹配。
dialog_privateRoomOverError_message,指定的房间已满员。
dialog_privateRoomPlayingError_message,指定的房间已经开始演出。
dialog_privateRoom_copyRoomNumber,复制房间号
dialog_privateRoom_createRoom,创建房间
dialog_privateRoom_typeCaption,房间类型
dialog_privateRoom_nameCaption,房间名
dialog_privateRoom_nameLimit,最多输入10文字
dialog_privateRoom_numberCaption,房间号
dialog_privateRoom_roomSelect,房间限制
dialog_privateRoom_title,创建私人房间
dialog_privateRoomDenied_description,由于主乐队的综合能力不足、\n无法进入指定的房间。
dialog_privateRoomDenied_needPower,必要综合能力
dialog_privateRoomDenied_room,房间
dialog_privateRoomDenied_title,综合能力不足
dialog_privateRoomEntrance_createButton,创建房间
dialog_privateRoomEntrance_createDescription,创建新的房间
dialog_privateRoomEntrance_joinDescription,进入他人房间
dialog_privateRoomJoin_description,指定房间号与朋友进行协力演出！
dialog_privateRoomJoin_descriptionVersus,输入5位房间号与指定好友进行竞演演出！
dialog_privateRoomJoin_joinButton,进入房间
dialog_privateRoomJoin_title,进入私人房间
dialog_privateRoomLeave_title,退出私人房间
dialog_privateRoomLeave_confirm,即将退出私人房间。\n确认吗?
dialog_publishConfig_title,个人资料设定
dialog_publishConfig_publish,公开中
dialog_publishConfig_closed,非公开
dialog_purchaseCancel_title,取消
dialog_purchaseCancel_message,已取消购买。
dialog_purchaseComplete_title,已完成购买
dialog_purchaseFailed_message,购买失败。
dialog_purchaseFailed_messageOutOfTerm,超出购买期限\n达到限购次数，因此无法购买。
dialog_rankReward_itemDescription,{0} x{1}
dialog_rankUp_liveBoostLimitCaution,※LIVE BOOST最高只能回复至{0}
dialog_rankUp_recoveryLiveBoost,LIVE BOOST回复了{0}！
dialog_rankUp_recoveryLiveBoostChange,[4C4C4C]等级达到了{0}\n升级时的\nLIVE BOOST回复量变为[-][FF3B72]{1}[-][4C4C4C]！[-]
dialog_rankUp_recoveryLiveBoostFriendLimitChange,好友上限{0}已增加。
dialog_rankUp_bandStoryOpenBandName,{0}的乐队故事
dialog_rankUp_bandStoryOpenChapter,「{0}」解锁了！
dialog_rankUp_mainStoryOpenChapter,主线故事「{0}」解锁了！
dialog_rankUp_title,等级提升！
dialog_rankUp_getReward_title,获得报酬
dialog_rankUp_getReward_message,已领取以下报酬！
dialog_rankUp_levelUpperLimitOpen_title,等级上限解锁
dialog_rankUp_levelUpperLimitOpen_message,等级上限已解锁！
dialog_rankUp_levelUpperLimitOpen_areaItem_message,「{0}」的等级上限已解锁！
dialog_rankUp_levelUpperLimitOpen_levelMax,最大等级
dialog_recoverLiveBoost_title,回复LIVE BOOST
dialog_recoverLiveBoost_message,LIVE BOOST已回复{0}！
dialog_reviewRequest_message,非常感谢各位选择少女乐团派对。\n\n请一定要送上评论。\n您的意见会成为开发重要的参考哦。
dialog_reviewRequest_rejectionButton,取消
dialog_reviewRequest_reviewButton,评论
dialog_reviewRequest_title,评论
dialog_rewardAreaItem_message,已发放到仓库。
dialog_rewardAreaItem_talk,发生对话
dialog_rewardAreaItem_areaItemEffect,区域道具效果
dialog_rewardItem_message,获得了报酬！
dialog_rewardMusic_message,「{0}」\n新乐曲解锁了！
dialog_rhythmAdjust_title,判定调节
dialog_rhythmAdjust_resultEnd,END
dialog_rhythmAdjust_resultStart,START
dialog_rhythmAdjust_message,请配合音乐点击符号。
dialog_rhythmAdjustReady_adjustButton,调节
dialog_rhythmAdjustReady_message,调整节奏符的判定时间点。。\n请配合音乐点击符号。
dialog_rhythmAdjustReady_title,判定调节
dialog_rhythmAdjustDone_title,已完成调整
dialog_rhythmAdjustDone_retakeButton,再次调整
dialog_rhythmAdjustDone_decideButton,刷新设定
dialog_rhythmgameGameOverContinue_title,继续
dialog_rhythmgameGameOverContinue_message,消费{0}个星石，\n回复所有生命值继续游戏吗？
dialog_rhythmgameGameOverGarupaCup_message,生命值已耗尽。\nGARUPA杯里无法进行复活。\n将返回至GARUPA杯的首页。
dialog_rhythmgameGameOver_title,演出失败
